Datum/Uhrzeit	    Zone  	Syntax
08.06.2016 16:47:36	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 16:48:50	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 16:50:47	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 16:51:11	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 16:51:58	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 16:53:11	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 16:53:53	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 16:54:32	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 16:54:50	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:07:25	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:09:08	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:10:28	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:11:31	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:11:58	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:13:24	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:13:44	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:14:35	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:14:53	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:15:03	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:15:28	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:16:48	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:17:29	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:18:41	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:19:28	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:21:50	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:22:23	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:22:55	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:23:51	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:24:15	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:24:20	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:25:07	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:26:03	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:45:27	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:45:35	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:45:47	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:47:04	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:47:30	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:48:01	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:48:32	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:49:20	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:50:10	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:50:19	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:50:43	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:50:58	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:51:40	kueche	/index.php?zone=kueche&action=sendmessage&clock&volume=20
08.06.2016 17:52:57	kueche	/index.php?zone=kueche&action=sendmessage&clock&volume=20
08.06.2016 17:53:09	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:53:11	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:53:16	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:53:45	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:53:48	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:54:10	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:54:15	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
08.06.2016 17:55:05	buero	/index.php?zone=buero&action=sendmessage&clock&volume=20
